Difficulty,Puzzle
1.15,[     o  oo     ooo  o         o  o         o  oo]
1.20,[oo   o         o o      o      oo o o        o o]
1.20,[o o oo    o     o             ooo o o         o ]
1.20,[oo  o       o  ooo            o o    o    o    o]
1.20,[oo    o     o   oo             o  o o   o    o o]
1.20,[ oo o     o o  oo   o          oo o           o ]
1.20,[o o         o o oo  oo           o         o  oo]
1.20,[oo   o        o  oo        o  o o o           oo]
1.20,[oo  o       o o  oo        o  o o    o         o]
1.20,[oo  o         o oo  o         o oo  o         o ]
1.20,[ oo       o oo  o   o         o  o         o  oo]
1.20,[    o   o o     oo    o    o  o o   o     o   o ]
1.20,[o o o   o o   o     o         o oo   o         o]
1.20,[    o   o o   o o o        o  oo o            oo]
1.20,[oo  o o         o o o      o  o  o            oo]
1.20,[oo  o         o o o o      o  o o             oo]
1.20,[o o    o  o     o   o         o  o oo  o       o]
1.20,[o o oo   oo         o         o o o o         o ]
1.20,[oo  o o          oo o      o  o o             oo]
1.20,[    oo  oo      oo  o         o   o o   o     o ]
1.20,[o o o    oo    o    o         o  o         o  oo]
1.20,[o   o    o  o o oo             oo o  o         o]
1.20,[oo  o       o  oo o o          o o         o  o ]
1.20,[ oo o     o o o o             o o   o    o    o ]
1.20,[ oo o     o o  oo             o oo  o         o ]
1.20,[oo    o     o   o   oo        o  o  oo         o]
1.20,[o o oo           oo o      o  o o             oo]
1.20,[o   oo   o      oo  o         o  o o o         o]
1.20,[ oo  o    o o   o   o           o o  o o       o]
1.20,[o o oo          oo  o         o o   o    o    o ]
1.20,[o o o     o   o o    o         o o      o     oo]
1.20,[o o oo   oo          o         o  o o   o      o]
1.20,[  o o   o   o  ooo            o   o     o     oo]
1.20,[ oo oo    o     o   oo          o    o    o    o]
1.20,[oo  o o         o o oo     o     o  o         o ]
1.20,[  o o   o       oo  o o          o o o        oo]
1.20,[ oo         o o o o        o  o oo            oo]
1.20,[ oo     o   o o   o        o  o  o o          oo]
1.20,[o o oo          o o o      o  o  o            oo]
1.20,[oo  oo           o         o  o  o  o      oo  o]
1.20,[ oo oo          o o           ooo o           oo]
1.20,[o   o   o      o oo o            o  o      o  oo]
1.20,[oo  o       o o o o        o  o  o  o         o ]
1.20,[ o  oo  o       o o o         o oo   o         o]
1.20,[oo  o       o  o oo        o  o  o  o         o ]
1.20,[oo   o      o   oo  o o         o    o    o    o]
1.20,[o o o       o o o o        o   o o            oo]
1.20,[    o   o o    ooo         o  o oo  o         o ]
1.20,[  o o   o   o  ooo            o oo  o         o ]
1.20,[o o oo    o     o   o         o o    o   o     o]
1.20,[o o o     o   o o   o         o  o      o     oo]
1.20,[o o  o          oo  o         o o o o  o       o]
1.20,[ o  o   o     o o o o      o  o  o            oo]
1.20,[o   o    o  o  ooo            o o o o         o ]
1.20,[o o o     o   o  o         o  ooo            o o]
1.20,[  o oo  o       oo  o         o oo  o         o ]
1.20,[o   o     o    ooo         o  o oo           o o]
1.20,[ oo o     o   o o   o         o oo            oo]
1.20,[  o oo  o       oo  o         o o o o        o  ]
1.20,[o o         o o  oo        o  o oo            oo]
1.20,[ oo o     o o  o o         o  o o   o         o ]
1.20,[ o  oo          o o o         o  o        oo  oo]
1.20,[o o     o   o o   o        o  o oo  o         o ]
1.20,[o o     o   o o   o        o   ooo           o o]
1.20,[o o     o   o o   o        o  o oo   o         o]
1.20,[ oo oo    o     o   o         o oo   o         o]
1.20,[o     o  o  o   oo             oo   o     o o  o]
1.20,[o o o       o   oo     o      o  o   o     o   o]
1.20,[o       o o o  o  o        o  o oo  o         o ]
1.20,[ oo o   o      o  o        o  o o o           oo]
1.20,[ oo   o   o o   o   oo          oo  o         o ]
1.20,[o o o o   o     o   oo           o         o  oo]
1.20,[o  ooo  o o         o          o o   o     o   o]
1.20,[o o o    oo   o     o         o  o o          oo]
1.20,[o o  o  o o o  o    o          oo         o   o ]
1.20,[o o o         o oo   o         o o      o     oo]
1.20,[o   o     o   o oo         o  o oo  o         o ]
1.20,[o         o o o  oo        o  o  o      o     oo]
1.20,[o o oo   oo         o         o  o o o         o]
1.20,[o       o o o  o  o        o  o  o         o  oo]
1.20,[      o oo  o   oo  oo            o o   o     o ]
1.20,[o o oo    o     o      o      o  o         o  oo]
1.20,[ o ooo    o     o   o o          o         o  oo]
1.20,[oo  o       o o o o        o   o o           o o]
1.20,[o o oo   oo         o         o o   o     o    o]
1.20,[o   oo   o      oo  o         o o   o     o    o]
1.20,[oo  o o  o                 o  o o o      o   o o]
1.20,[ oo      o  o  o  o        o  o o o           oo]
1.20,[o o o   o o   o     o         o   o o      o   o]
1.20,[  o o   o   o  ooo            o oo   o         o]
1.20,[oo   o      o   o o o         o o         o   oo]
1.20,[o o o   o      o  o        o  o o         o   oo]
1.20,[ o  o   o   o o o o            oo         o   oo]
1.20,[  o o o o       oo  oo           o o          oo]
1.20,[  o o   o     o oo  o         o oo            oo]
1.20,[oo  o          ooo  o         o o   o    o    o ]
1.20,[oo  o         o oo  o         o  o  o   o      o]
1.20,[o   o     o o o  oo        o  o o             oo]
1.20,[o o oo   oo         o         o   o o   o      o]
1.20,[ oo   o   o o    o  oo     o    o   o         o ]
1.20,[  o o   o   o o oo            o o   o    o    o ]
1.20,[o o o o  oo         o         o o         o   oo]
1.20,[o o o        o  oo  o         o o         o   oo]
1.20,[  o oo  o       o o o    o    o   oo           o]
1.20,[o o o           oo  o  o        o   o     o   oo]
1.20,[    o   oo     o oo        o  o o o           oo]
1.20,[o o oo          oo     o      o o         o   oo]
1.20,[  o  o  o   o   oo  o         o o o           oo]
1.20,[o o o     o     o   o  o         o  o      o  oo]
1.20,[  o o   o   o o o o        o   oo             oo]
1.20,[o       o      o oo o         o o o oo         o]
1.20,[  o oo  o       oo  o         o oo   o         o]
1.20,[o   o    o    o  oo        o  o o o           oo]
1.20,[    o   o o o  oo        o    o oo  o         o ]
1.20,[o o      o  o  o  o        o   oo o           oo]
1.20,[o   o    o    o oo  o         o o   o     o  o  ]
1.20,[oo    o     o   ooo           o     o    o o   o]
1.20,[ oo oo    o      o  o      o  o o   o         o ]
1.20,[o o   o   o     o   o      o  o  o         o  oo]
1.20,[ o  o    oo    o  o        o  o o o           oo]
1.20,[o   o     o    ooo         o   ooo  o         o ]
1.20,[o o o       o   oo     o      o  o         o  oo]
1.20,[o o    o  o     o   o         o o o o  o       o]
1.20,[o o  o    o o   o   o         o   o     o     oo]
1.20,[ oo o   o   o  o  o           o  o         o  oo]
1.20,[o   oo   o      oo  o          oo   o     o   o ]
1.20,[o o o    oo o  o              o  o o o         o]
1.20,[ oo o  oo   o     o  o          o o o         o ]
1.20,[oo  o        o  o o o            o   o o   o   o]
1.20,[oo  o         o  oo o      o   oo             oo]
1.20,[o o o        o  oo  o         o  o         o  oo]
1.20,[o o o    oo o  o              o o o o         o ]
1.20,[oo  o       o o  oo        o  o o   o         o ]
1.20,[o o o           oo  o  o         o  o      o  oo]
1.20,[o o o   o    o     ooo          o o o         o ]
1.20,[oo   o      o   o o o         o  o         o  oo]
1.20,[  o o   o   o   oo    o       o  o   o     o   o]
1.20,[ o      o   o o ooo            o     o   o o   o]
1.20,[o o o     o o  o o         o  o o   o o         ]
1.20,[oo  o         o oo   o         o o  o   o      o]
1.20,[o o    o        oo  o         o o o o  o       o]
1.20,[oo  o         o oo  o         o oo   o         o]
1.20,[o o   o  oo o                 oo o         o o o]
1.20,[o o oo    o     o             ooo         o  o o]
1.20,[o o o   o o         o  o      o o   o     o   o ]
1.20,[oo  o  o    o    oo   o    o    o   o o         ]
1.20,[o o o      oo o  o            o oo  o         o ]
1.20,[o o  o      o   oo  o             o  o oo      o]
1.20,[oo  oo           oo o      o  o  o  o         o ]
1.20,[o o o     o    o o  o      o  o o             oo]
1.20,[o o o   o o   o      o         o o  o   o      o]
1.20,[oo  o        o  o o oo          o   o     o   o ]
1.20,[ oo o     o o  oo             o oo   o         o]
1.20,[o o o     o o  oo             o o   o    o    o ]
1.20,[oo  o          ooo  o         o  o  o   o     o ]
1.20,[ o  o   o   o o o o            ooo   o         o]
1.20,[o o oo          oo  o         o  o   o  o      o]
1.20,[o  oo   o o   o     o         o oo  o          o]
1.20,[o o o o   o     o   oo          o         o   oo]
1.20,[o o     o   o  o  o         o o oo            oo]
1.20,[o o o     o  o  o   o         o o         o   oo]
1.20,[ oo  o   oo o       o o         o   o     o   o ]
1.20,[ oo oo  o          oo         o o o           oo]
1.20,[  o     o   oo  oo  o         o o         o   oo]
1.20,[    oo  oo      oo  o         o o    o    o    o]
1.20,[    o   o o    ooo         o  o oo   o         o]
1.20,[o o o     o   o o   oo          o o           oo]
1.20,[ oo o     o o  o o         o  o o    o         o]
1.20,[o   o     o     oo    o    o  o o o o         o ]
1.20,[o o oo          oo     o      o  o         o  oo]
1.20,[ o  oo  o       o o o         o oo  o         o ]
1.20,[o   o   o  o  o  o            ooo         o   oo]
1.20,[oo  o o     o    oo   o    o    o   o         o ]
1.20,[o   oo    o      oo o      o  o  o            oo]
1.20,[oo  o     o o o                ooo  o    o    o ]
1.20,[o o  o    o     o   o         o o o o  o       o]
1.20,[o o oo  o     o   o         o   o   o     o   o ]
1.20,[o o o    oo   o     o         o o   o     o  o  ]
1.20,[o o   o   o     o   o      o  o o         o   oo]
1.20,[  o oo  o       oo  o       o o  o         o   o]
1.20,[  o o   o    o  oo  oo          o o o         o ]
1.20,[oo  o         o oo   o         ooo   o         o]
1.20,[o   oo   o      oo   o         oo   o     o    o]
1.20,[oo  o         o  oo        o  ooo            o o]
1.20,[o o oo          oo  o         o o    o   o     o]
1.20,[o   oo  o  o     o  o      o  o o   o          o]
1.20,[o  ooo    o     o   oo           o   o     o   o]
1.20,[  o o   o   o o o o        o  o  o            oo]
1.20,[ oo o   o   o  o  o           o o o o        o  ]
1.20,[o        oo o  o  o        o  o o o           oo]
1.20,[ oo       o oo  o             o  o  o      oo  o]
1.20,[ oo o   o   o  o  o           o o         o   oo]
1.20,[o   o    o     ooo  o         o  o         o  oo]
1.20,[  o oo  o       oo             oo o oo         o]
1.20,[o o o   o   o  o  o           o o     o   o    o]
1.20,[oo  o     o   o   o o         o o  o          oo]
1.20,[o o o o         oo  oo           o         o  oo]
1.26,[o o o        o  oo   o         o o         o  oo]
1.26,[ o   o  o   o   oo             oo o oo         o]
1.26,[o o o     o   o            o   ooo         o  oo]
1.26,[o o  o    o o    o            o  o oo        oo ]
1.26,[   ooo   o      oo  o         o  o         o  oo]
1.26,[o o   o o   o        o o   o   oo o o           ]
1.26,[o o o     o o ooo               o   o     o    o]
1.26,[ oo   o o o o       o         o o o           oo]
1.26,[o o  o  o o o       o         o o   o     o    o]
1.26,[oo  oo          o   o      o  o oo         o   o]
1.26,[ oo  o  o o o                  oo o oo         o]
1.26,[o o   o o o         o      o   oo o o o         ]
1.26,[o o  o  o     o   o o      o    o o o         o ]
1.26,[o o o     o      o     o      o o o o o        o]
1.26,[o o o    o  o o  o         o   oo     o     o   ]
1.26,[o o oo    o   o  o            o o   o     o    o]
1.26,[oo  o       o  ooo            o  o  o     o    o]
1.26,[ o    o o   o   oo  o         o o o           oo]
1.26,[ o  o   o      ooo            o o o o o        o]
1.26,[o o o   o o o  o              o  o  o     o    o]
1.26,[o   o    o o  o  o  o      o  o o             oo]
1.26,[oo  o     o   o            o   ooo        o   oo]
1.26,[o    o    o o   oo            o o o o       o  o]
1.26,[o o     o         o o o    o  o   o o   o     o ]
1.26,[o o o     o     o    oo        o o         o  oo]
1.26,[oo  o       o o oo     o        o   o     o    o]
1.26,[o   o     o o  oo             o     oo   o   o o]
1.26,[ o  o o   o     oo         o   oo o           oo]
1.26,[o o   o   o o    o  o         o oo            oo]
1.26,[ oo o   o o  o o     o          o o o          o]
1.30,[oo  o        o  oo  o          oo   o     o   o ]
1.30,[o o  o  o o o o               o o   o     o   o ]
1.38,[    o   oo    o oo  o         o o   oo    o     ]
1.38,[o o o     o   o   o o      o  o o             oo]
1.38,[ o  o   o      ooo  o         o o         o   oo]
1.38,[     o  o o o   oo            oo o         o  oo]
1.38,[o o o o   o      o  oo                   o o  oo]
1.38,[ oo o     o   o o   oo          o   oo    o     ]
1.38,[ oo o   o o   o     o          ooo   o         o]
1.38,[o     o   o o   oo  oo          o o o        o  ]
1.38,[o o   o   o o   o             oo o   o  o      o]
1.38,[o   o o            o    o     o  oo o    o o   o]
1.38,[oo    o     o   oo  o         o  o  o   o      o]
1.38,[oo  oo    o       o o         o o        o   o o]
1.38,[o   o    o    o o o        o  o o         o   oo]
1.38,[  o o   o       oo   oo         o o o       o  o]
1.38,[o o o   o o  o o    o         o o         o  o  ]
1.38,[o   o     oo  o o   o      o   o        o     oo]
1.38,[ oo o    oo   o     o         o o   oo    o     ]
1.38,[ o o   oo   o    oo           o o o           oo]
1.38,[o o o   o   o  o   o          o oo  o         o ]
1.38,[ o      o   o  ooo          o o o         o   oo]
1.38,[oo          o o o o        o  oo o   o         o]
1.38,[oo  o     o    o  o o         o o        o    oo]
1.38,[oo          oo  oo  o         o o    o    o    o]
1.38,[ o  o   o   o  ooo            o  o         o o o]
1.38,[o   o   o o   o   o  o        o oo  o          o]
1.38,[oo    o     o    oo        o  oo o   o         o]
1.38,[oo  o        o ooo  o         o o         o  o  ]
1.38,[o       o o o o   o        o  o o   o    o    o ]
1.38,[ oo  o    o o    o  o         o   o     o     oo]
1.38,[  o  o  o   o   oo             ooo  oo         o]
1.38,[o o o     o o  o o  o         o o  o          o ]
1.38,[    o   oo    o o o        o   oo   oo    o     ]
1.38,[o o  o    o     o   o      o   oo o o o         ]
1.38,[oo    o     o   oo  o          oo    o   o     o]
1.38,[    o   o      o oo     o  o  o o         o   oo]
1.38,[oo    o     o   o   oo    o     oo   o         o]
1.38,[o o      oo o  o              o  o o o       o o]
1.38,[oo    o     o    oo            oo    o   o   o o]
1.38,[    o   oo     oo o        o  o o         o   oo]
1.38,[o o   o o o o       o         o oo  o         o ]
1.38,[oo  oo    o       o o         o o   o      o   o]
1.38,[  o  o  o   o   oo  oo          o o o         o ]
1.38,[ oo o   o o    o    o         o oo  o         o ]
1.38,[o   oo    o      o  o   o     o o o           oo]
1.38,[ o  o   oo o        o  o      o  o         o  oo]
1.38,[o   o    o o o   o           o  o  o o        oo]
1.38,[  o o   o    oo oo            o o         o   oo]
1.38,[ oo  o    o      o  o         o o o o  o       o]
1.38,[oo  o         o o   o         o ooo        o   o]
1.38,[o o oo          oo  o      o  o          o    oo]
1.38,[oo  o        o  oo  o         o o o o         o ]
1.38,[ oo o   o o   o     o         o oo  o          o]
1.38,[ oo o   o o o  o     o          o o o         o ]
1.38,[oo          o o  oo        o   oo o        o   o]
1.38,[ ooo        o   o     o    o    o o oo         o]
1.38,[oo   o          oo  o  o         o  o      o  oo]
1.38,[o   oo  o  o     o  o         o oo   o         o]
1.38,[o   o     o     oo  o  o        o o o         oo]
1.38,[o o  o    o o   o             o o o o        o o]
1.38,[oo    o     o   o   oo    o     oo  o         o ]
1.38,[o o o     o  o oo             o o         o   oo]
1.38,[o o  o  o   o      ooo          o o o         o ]
1.38,[  o o   o   o  o   oo         o o         o   oo]
1.38,[o   o          oooo        o  o   o     o     oo]
1.38,[oo          oo oo o              o   o   o o   o]
1.38,[oo  oo    o       o o         o o   o    o     o]
1.38,[o     o o   o    oo               o oo oo      o]
1.38,[    o   o o o  ooo            o   o o   o    o  ]
1.38,[o o o  o  o     o    o        o  o  o      oo   ]
1.38,[o o  o      o   oo  oo           o   o     o   o]
1.38,[oo  oo    o       o o         o   o o    o   o  ]
1.38,[oo   o    o o     o           o o o o  o       o]
1.38,[o   oo    o     oo             oo o oo         o]
1.38,[      o oo  o   oo  o         o   o     o     oo]
1.38,[o   o     o o  ooo            o oo  o         o ]
1.38,[ oo o     o  o   o  o         o  o         o  oo]
1.38,[ o oo   o   o o   o            oo o oo          ]
1.38,[o o o   o o  o      o         o o   o     o    o]
1.38,[oo  oo    o         o   o     o o o  o         o]
1.38,[ o o    o   oo   o  o            o   o o   o   o]
1.38,[oo  o         o o   o         o o o      o    oo]
1.38,[oo  o       o o  oo        o   oo   o o         ]
1.38,[    o   oo    o oo            ooo    o    o    o]
1.38,[o     o   o o    o         o  oo  oo          oo]
1.38,[o o o     o o o   o        o   oo   o         o ]
1.38,[oo  o         o o  oo         o     o    o o   o]
1.38,[o   o    oo    oo          o  o o o o        o  ]
1.38,[o o o     o      o  o  o        o o o         oo]
1.38,[o o o    oo   o      o        o o         o   oo]
1.38,[o   o          oooo        o  o  o         o  oo]
1.38,[o     o o o o              o  oooo   o         o]
1.38,[o o  o    o o   o             oo o   o     o   o]
1.38,[o o       o o o  o  oo     o    o   o         o ]
1.38,[ o  oo  o       oo  o          o o   o     o   o]
1.38,[    o   o o   o oo   o        o  o  o   o      o]
1.38,[o o o     o o  o o  o         o  o         o  o ]
1.38,[o o  o      o   oo  o         o oo  o         o ]
1.38,[o o oo    o      o  o         o  o  o   o      o]
1.38,[o o o         o oo            ooo    o   o     o]
1.38,[o  oo   o o   o     oo               o   o o   o]
1.38,[o o  o      o   oo  o o       o  o   o     o    ]
1.38,[oo   o      o   oo  o         o  o oo         o ]
1.38,[  o   o o   o   oo  o         o oo            oo]
1.38,[o o oo    o     o             ooo o  o         o]
1.38,[o o o    o  o  o o         o  o o   o         o ]
1.38,[o   o  o        oo  o           o o oo        oo]
1.38,[o o  o    o o   o   o         o oo  o         o ]
1.38,[ oo  o    o o   o             o o o o       o  o]
1.38,[oo  o        o  oo  o         o o   o     o    o]
1.38,[  o   o     o   o          o  oooo         o  oo]
1.38,[ o      o    o ooo             o o  o      o o o]
1.38,[ oo o o o o         o         o o         o   oo]
1.38,[o o  o    o o    o             o o  o      oo  o]
1.38,[oo  o    o    o         o     o  oo oo         o]
1.38,[o o o   o o  o      o         o o o o         o ]
1.38,[    o   o o o   oo     o      o  o         o  oo]
1.38,[o   o    oo    o   oo           o o o       o o ]
1.38,[ oo o     o     o      o      o o o o o        o]
1.38,[oo  oo          oo  o         o   o  o  o      o]
1.38,[o o       o o o  o         o  ooo    o         o]
1.38,[ o  oo  o       oo   o         oo   o     o    o]
1.38,[o o o           oo   o o        o o o         oo]
1.38,[ o  o   o     o o o        o   oo         oo   o]
1.38,[o   o     o o  ooo   o          oo   o         o]
1.38,[o o o           oo  ooo          o         o  oo]
1.38,[ o  oo  o       oo  o         o   o o   o      o]
1.38,[ oo o o o o         o         o  o         o  oo]
1.38,[oo  o     o   o     o    o           o o  oo   o]
1.38,[o   o o   o     oo  oo          o o           oo]
1.38,[o o   o  oo o       o         o o o           oo]
1.38,[oo  o o   o       o o         o o        o    oo]
1.38,[oo  o         o oo  oo          o    o    o    o]
1.38,[ o o o  o    o   oo  oo         o     o    o    ]
1.38,[o o o   o   o  o   o          o oo   o         o]
1.38,[ o  oo  o       oo  o         o o   o     o    o]
1.38,[o o  o      o   oo  o         o oo   o         o]
1.38,[o o oo   o       o  o      o  o o   o         o ]
1.38,[o o  o  o   o     o o         o  o         o  oo]
1.38,[    o o o o     oo  oo           o         o  oo]
1.38,[o   o     o o   oo    o       o o   o     o   o ]
1.38,[ o  o   o o o  o        o     o o         o   oo]
1.38,[o   o o o o                o  oo  o  o     o   o]
1.38,[o o  o      o   oo  o         o o o o        o  ]
1.38,[ oo o   o o o o                o o oo         o ]
1.38,[o o oo          oo   o           o  o     o   oo]
1.38,[o   o    o    o oo  oo          o o o         o ]
